State Name,Total Number of Schools ,Total Students ,"Total, All Grades- male ","Total, All Grades- female ",Total Students- Amer Ind/AK Native ,Total Students- Asian/Pacific Islander,Total Students- Black ,Total Students- Hispanic ,Total Students- White ,Total Students- Two or more Races ,Prekindergarten Students ,Kindergarten Students ,First Grade Students ,Second Grade Students ,Third Grade Students ,Fourth Grade Students ,Fifth Grade Students ,Sixth Grade Students ,Seventh Grade Students ,Eighth Grade Students ,Ninth Grade Students ,Tenth Grade Students ,Eleventh Grade Students ,Twelfth Grade Students ,Ungraded Students ,Free Lunch Eligible ,Reduced-price Lunch Eligible ,LEP/ELL Students ,Individualized Education Program ,Total Teachers ,Total Staff ,Pupil-to-Teacher
Nebraska,1127,298500,154228,144272,4413,6350,19990,47900,211205,8642,12656,23411,23134,22390,22150,21901,21680,21103,20992,20875,22567,21998,21407,22236,,100563,26551,20077,44299,22345.16,45509.07,13.36
Nevada,677,437149,225145,212004,5705,31209,43225,169236,169220,18554,4444,32454,33809,33492,33600,34047,33754,34054,33947,33070,33780,34199,32645,29207,647,190854,29049,83352,48078,21839.48,33400.11,20.02
New Hampshire,483,194711,100688,94023,653,5370,3821,7231,174778,2858,3097,11970,14120,13913,14187,14294,14602,14795,15191,15407,16832,15994,15290,15019,,38659,10245,3965,29778,15365.2,32955.1,12.67
New Jersey,2634,1402548,724048,678500,1864,124519,234395,309673,722642,9455,53564,92413,99976,98791,97716,98641,99344,100245,100225,99630,106281,103267,98237,97358,56860,370531,74205,52771,225471,110202.4,202633.6,12.73
New Mexico,873,338122,173392,164730,34530,4397,7151,200774,88009,3261,7980,26688,26660,26087,25906,25955,25615,25329,24656,24469,29179,26451,22553,20594,,206414,20663,52557,46612,22437.43,46519.33,15.07
New York,4791,2734955,1401555,1333400,14541,226894,519113,611873,1346498,16036,51649,194607,202889,201820,198573,198720,201761,199937,202305,203761,235380,227380,197541,191528,27104,1123040,192524,208125,452551,211605.54,413971.15,12.92
North Carolina,2609,1490605,761595,729010,22199,37538,394635,187967,792461,55805,23510,115782,108078,117107,117747,118617,117170,115186,113310,111112,126090,111889,102676,91541,790,633440,114538,103249,184704,98357.47,193038.9,15.15
North Dakota,521,96323,49789,46534,8789,1267,2318,95,80661,3193,1529,7449,7484,7197,6915,6974,6676,7141,7372,7298,7591,7701,7415,7581,,22988,6941,2788,13097,8416.95,16239.18,11.44
Ohio,3852,1754191,901177,853014,2519,30641,285091,60506,1301921,73513,30047,129964,132638,130425,130593,133202,134109,133615,135005,133210,152198,138532,121707,118946,,646984,98137,37116,259448,109281.94,241211.64,16.05
Oklahoma,1803,659911,339686,320225,116597,14116,67107,81009,360125,20957,40688,52114,52420,50070,48899,48519,48490,47809,47418,45737,48131,45564,42620,39634,1798,337536,61381,41812,97247,41277.8,82261.7,15.99
Oregon,1313,570720,288575,272753,10406,25233,14599,115102,372194,23794,9392,40656,42508,42322,42013,42924,43144,43280,43528,42834,44540,44289,43078,46212,,240711,39463,58946,80283,28109.27,63602.73,20.3
Pennsylvania,3269,1793284,922865,870419,2892,56914,280981,149247,1276052,27198,16294,128120,131170,130253,129292,132497,134499,134782,135869,135876,150150,148716,141866,141710,2190,584251,102390,47014,295077,129911.39,266795.76,13.8
Rhode Island,325,143793,74490,69303,951,4368,11457,29917,93683,3417,2054,10057,11070,10745,10755,10865,10195,9889,11150,10954,12888,11814,10891,10466,,52839,8288,7655,25332,11211.8,18631.74,12.83
South Carolina,1228,725838,373366,352472,2111,10452,263034,46202,387520,16519,24188,54624,55328,53846,54100,55636,55887,54788,54280,52904,62161,54685,48708,44703,,350202,44831,36379,100262,45210.4,65508.4,16.05
South Dakota,718,126128,65144,60984,14683,1868,3144,4352,100680,1401,1974,11049,9903,9498,9233,9140,9321,9331,9212,9275,10307,9779,9043,9063,,36573,10144,4383,18026,9511.67,19545.06,13.26
Tennessee,1803,987422,508744,478678,1902,16840,236013,60549,664947,7171,28787,76642,76706,74788,74793,75481,75057,74615,73363,71475,76010,73509,68755,67441,,471483,71470,29681,119004,66558.1,128196.6,14.84
Texas,9332,4935715,2535286,2400429,23607,175489,638377,2480792,1539026,78424,249122,374195,387899,379910,375454,374111,372509,361700,357395,354314,391554,344241,314911,298400,,2148558,322654,738663,441987,334996.94,665418.5,14.73
Utah,1029,585552,301355,284197,7816,19942,8468,88285,456510,4531,10376,48043,48770,48122,46753,46127,45822,44797,43942,42227,41419,40964,39446,38744,,180183,43760,42804,70232,25676.71,52340.96,22.8
Vermont,324,96858,50353,46505,268,1563,1787,1307,89899,2034,10678,6259,6213,6171,6214,6291,6294,6484,6628,6757,7139,7287,7329,7114,,25757,5582,1510,13562,8382.08,18485.22,11.56
Virginia,2211,1251440,644200,607240,4251,74933,301427,142536,677123,51170,30821,92899,95368,93687,93328,93965,94182,92762,92557,91877,102407,96918,91403,89266,,384744,74135,88033,162338,70947.13,201047.18,17.64
Washington,2354,1043788,538050,505738,17570,84123,50048,187783,655984,48280,12056,75933,78598,77707,76802,78546,79062,78531,78489,78448,84449,81990,79465,83712,,345382,72683,90282,127909,53934.11,103782.87,19.35
West Virginia,765,282879,146200,136679,338,2063,14786,3139,260278,2275,14660,21256,21167,20299,20786,20493,20842,20595,20919,20455,22785,21037,19155,18430,,124111,21494,1788,44924,20338.46,39270.21,13.91
Wisconsin,2275,872286,449545,422741,11625,31165,86665,80826,648801,13204,50200,60721,61262,60226,59981,61015,61420,61053,61264,61337,68383,66490,69076,69858,,289759,52901,43638,124721,57625.42,103900.92,15.14
Wyoming,365,89009,45873,43136,2937,837,1022,10932,72070,1211,582,7611,7124,7064,6801,6694,6711,6766,6776,6657,6842,6724,6424,6233,,24216,8752,2602,15231,7127.45,16423.88,12.49
U.S. (average)*,1988,970278,497862,470812,11077,48183,155135,223522,507984,22771,25072,72197,73606,72562,72271,72771,72892,72197,72084,71753,78585,74507,69382,68076,2318,394820,66818,58462,125576,60766.56,121474.65,15.97
